dataset,met,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[400.0, 440.0)",382,0.00037177302874624729,3.6563849170612173e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[440.0, 480.0)",307,0.00029644006281159818,2.9385083255561995e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[480.0, 520.0)",249,0.00023773906286805868,2.3833504614323431e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[520.0, 560.0)",221,0.00021034525707364082,2.1153430396214645e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[560.0, 600.0)",189,0.00018099475710187107,1.8090490216948751e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[600.0, 640.0)",166,0.00015849270857870579,1.5889002613622694e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[640.0, 680.0)",126,0.00012327211152296513,1.2060326348706241e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[680.0, 720.0)",124,0.00011740200716303661,1.1868893368127686e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[720.0, 760.0)",109,0.00010468345135450363,1.0433139768784017e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[760.0, 800.0)",70,6.6527805756777525e-05,6.7001813819356215e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[800.0, 840.0)",68,6.6527805756777525e-05,6.5087477074676769e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[840.0, 880.0)",55,4.9895850679604337e-05,5.264428476481342e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[880.0, 920.0)",57,5.1852552132913843e-05,5.4558621509492866e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[920.0, 960.0)",44,4.3047402868978679e-05,4.2115429199629517e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[960.0, 1000.0)",38,3.1307201425079256e-05,3.6372415496144228e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1000.0, 1040.0)",32,3.1307201425079256e-05,3.0629401792658939e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1040.0, 1080.0)",28,2.7393802156439051e-05,2.6800726568576572e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[1080.0, 1120.0)",24,2.3480401068809442e-05,2.2972051344494204e-11
