dataset,sublFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.7733333333333334, 2.9866666666666672)",1150,0.00036387945874594152,1.1513762165904495e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.9866666666666672, 3.2)",847,0.00026800512569025159,8.4801360378250479e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.2, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, -3.2)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-3.2, -2.986666666666667)",1002,0.00031895755091682076,1.015308531693293e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.986666666666667, -2.7733333333333334)",1485,0.00047270653885789216,1.5047237067467023e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.7733333333333334, -2.56)",1398,0.00044501261436380446,1.4165681128108787e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.56, -2.3466666666666667)",1357,0.00043196146725676954,1.3750235672294053e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.3466666666666667, -2.1333333333333337)",1373,0.00043705460848286748,1.3912361540580065e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-2.1333333333333337, -1.9200000000000002)",1417,0.00045106071047484875,1.4358204902809035e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.9200000000000002, -1.7066666666666668)",1415,0.0004504240641836077,1.4337939169273284e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.7066666666666668, -1.4933333333333334)",1439,0.00045806376147083938,1.458112658392352e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.4933333333333334, -1.28)",1362,0.00043355306843295693,1.3800899312244042e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.28, -1.0666666666666669)",1452,0.00046220194781199098,1.4712853158016514e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-1.0666666666666669, -0.8533333333333335)",1423,0.0004529706493485719,1.441900210341629e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-0.8533333333333335, -0.6400000000000001)",1413,0.00044978741789236665,1.4317673435737532e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-0.6400000000000001, -0.42666666666666675)",1424,0.00045328895794227719,1.4429134276294775e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-0.42666666666666675, -0.21333333333333337)",1352,0.00043036986608058214,1.3699572032344065e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-0.21333333333333337, 0.0)",1384,0.00044055611942894757,1.4023822381137308e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.0, 0.21333333333333337)",1434,0.00045647216029465199,1.4530462943973532e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.21333333333333337, 0.42666666666666675)",1463,0.00046570348786190152,1.4824313998573757e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.42666666666666675, 0.6400000000000001)",1406,0.00044755919952876866,1.4246744062251793e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.6400000000000001, 0.8533333333333335)",1424,0.00045328895794227719,1.4429134276294775e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.8533333333333335, 1.0666666666666664)",1405,0.00044724086183123291,1.4236610501594527e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.0666666666666664, 1.2800000000000002)",1335,0.0004249584162607789,1.3527313991179568e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.2800000000000002, 1.4933333333333332)",1344,0.00042782328091561794,1.3618509098201059e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.4933333333333332, 1.706666666666667)",1405,0.00044724086183123291,1.4236610501594527e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.706666666666667, 1.92)",1454,0.00046283859410323203,1.4733118891552266e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[1.92, 2.1333333333333337)",1339,0.00042623167973943055,1.3567845458251071e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.1333333333333337, 2.3466666666666667)",1353,0.00043068817467428744,1.370970420522255e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.3466666666666667, 2.5600000000000005)",1396,0.00044437596807256341,1.4145415394573035e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.5600000000000005, 2.7733333333333334)",1386,0.00044119276572018862,1.4044088114673059e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.7733333333333334, 2.9866666666666672)",1365,0.00043450802331790328,1.3831298606437059e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[2.9866666666666672, 3.2)",1014,0.00032277739956043661,1.0274679024258049e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[3.2, inf)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-inf, -3.2)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-3.2, -2.986666666666667)",1089,3.7531790439970791e-05,1.293512606054259e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-2.986666666666667, -2.7733333333333334)",1533,5.2834006055491045e-05,1.8208952141246515e-12
