dataset,sublFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",983,9.5617229817435145e-05,1.0458427526782721e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",1086,0.00010789171938085929,1.1554274897962458e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",1248,0.00012418894039001316,1.3277840632541782e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-0.19999999999999973, 0.0)",1229,0.00012181655620224774,1.3075694173247943e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.20000000000000018)",1269,0.00012429208436515182,1.3501266077353691e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.20000000000000018, 0.40000000000000036)",1165,0.00011418368376325816,1.239477877973405e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.40000000000000036, 0.6000000000000005)",1076,0.00010686025052564219,1.1447881705095586e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.6000000000000005, 0.8000000000000007)",972,9.5720381068531424e-05,1.0341395274837684e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.8000000000000007, 1.0)",821,8.2827005826402456e-05,8.7348617922033966e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",690,6.9933637860231102e-05,7.3411138279411148e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000004)",484,4.8685364163247868e-05,5.1494190855816413e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.4000000000000004, 1.6000000000000005)",358,3.4863671316998079e-05,3.8088677177527952e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.6000000000000005, 1.8000000000000007)",252,2.4342682081623934e-05,2.6811025188172577e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.8000000000000007, 2.0)",153,1.495630931458436e-05,1.6278121428917047e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.2)",94,9.076932656171266e-06,1.0000937794921172e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",82,8.2517562987050042e-06,8.7242219741837101e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6000000000000005)",38,3.713290425366722e-06,4.0429321674327612e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.6000000000000005, 2.8000000000000007)",24,2.4755270260357065e-06,2.5534308283232943e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000007, 3.0)",11,1.1346165820214082e-06,1.170322519450373e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.0, 3.2)",8,8.251756753452355e-07,8.5114363202864335e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6000000000000005)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.6000000000000005, 3.8000000000000007)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.8000000000000007, 4.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.0, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, -4.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-4.0, -3.8)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-3.8, -3.6)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-3.6, -3.4)",2,6.3283385998147423e-07,2.0023934767243734e-13
