dataset,dijet_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2600.0, 2700.0)",639,6.2816499848850071e-05,6.7985096718903293e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2700.0, 2800.0)",711,7.0036781835369766e-05,7.5645392727530236e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2800.0, 2900.0)",757,7.4987838161177933e-05,8.0539463986895043e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2900.0, 3000.0)",826,8.0042038462124765e-05,8.7880579549559634e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3000.0, 3100.0)",757,7.5400428613647819e-05,8.0539463986895043e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3100.0, 3200.0)",729,7.1068257966544479e-05,7.7560466729686972e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3200.0, 3300.0)",750,7.4884694186039269e-05,7.9794712504188681e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3300.0, 3400.0)",748,7.4059513281099498e-05,7.9581931322625366e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3400.0, 3500.0)",687,6.818013935117051e-05,7.3091957833448795e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3500.0, 3600.0)",610,5.9618942032102495e-05,6.4899700197296184e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3600.0, 3700.0)",551,5.37395644641947e-05,5.8622516563300309e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3700.0, 3800.0)",440,4.4146898289909586e-05,4.6812900778014921e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3800.0, 3900.0)",336,3.3419615647289902e-05,3.5748032138627206e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3900.0, 4000.0)",234,2.2898624592926353e-05,2.4895951186015841e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4000.0, 4100.0)",164,1.6503512597410008e-05,1.744844394836742e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4100.0, 4200.0)",71,7.1171402851177845e-06,7.5538999968344234e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4200.0, 4300.0)",41,4.2290253077226225e-06,4.3621109870918551e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4300.0, 4400.0)",17,1.547204419694026e-06,1.8086801587685608e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4400.0, 4500.0)",8,8.251756753452355e-07,8.5114363202864335e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4500.0, inf)",29,2.991261908391607e-06,3.0853957084554795e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 100.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[100.0, 200.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[200.0, 300.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[300.0, 400.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[400.0, 500.0)",34,1.0758175449154805e-05,3.4040689104314348e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[500.0, 600.0)",209,6.6131135099567473e-05,2.0925011723349485e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[600.0, 700.0)",508,0.00016073980077635497,5.0860794742479953e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[700.0, 800.0)",825,0.00026104395510628819,8.2598733408545399e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[800.0, 900.0)",1063,0.00033635119325481355,1.064272142636824e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[900.0, 1000.0)",1221,0.0003863450838252902,1.2224611600775148e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1000.0, 1100.0)",1451,0.00045912095811218023,1.4527364033956047e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1100.0, 1200.0)",1659,0.00052493566181510687,1.6609853770166438e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1200.0, 1300.0)",1853,0.00058632058789953589,1.8552175073960342e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1300.0, 1400.0)",1912,0.00060498918173834682,1.9142881724221184e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1400.0, 1500.0)",2061,0.00065213529160246253,2.0634664810170733e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1500.0, 1600.0)",2232,0.00070624257205054164,2.2346710593090791e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1600.0, 1700.0)",2135,0.00067555013811215758,2.1375549941193839e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1700.0, 1800.0)",2155,0.00068187847500666976,2.1575789765915232e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1800.0, 1900.0)",2216,0.0007011799025349319,2.2186519288425188e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1900.0, 2000.0)",2072,0.00065561587689444423,2.0744796158655987e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2000.0, 2100.0)",1916,0.00060625484911724925,1.9182928856498194e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2100.0, 2200.0)",1716,0.00054297148017212749,1.7180536160399384e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2200.0, 2300.0)",1604,0.00050753273535519838,1.6059195639961388e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2300.0, 2400.0)",1378,0.00043602252844721079,1.379649172683628e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2400.0, 2500.0)",1133,0.00035850037238560617,1.1343558731224945e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2500.0, 2600.0)",904,0.00028604091494344175,9.050818428057994e-11
