dataset,sublFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[880.0, 920.0)",446,4.3528016249183565e-05,4.7451257333130936e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[920.0, 960.0)",438,4.2702842620201409e-05,4.6600115259642916e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[960.0, 1000.0)",404,3.9608432416571304e-05,4.2982752773701449e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1040.0)",387,3.8680111174471676e-05,4.1174073699135061e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1040.0, 1080.0)",377,3.7029756640549749e-05,4.0110141770466345e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1080.0, 1120.0)",365,3.6617169826058671e-05,3.8833428660234315e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1120.0, 1160.0)",308,3.0325205443659797e-05,3.2769030544610445e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1160.0, 1200.0)",287,2.8571706934599206e-05,3.0534778264895701e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1240.0)",278,2.7643385692499578e-05,2.9577241263817333e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1240.0, 1280.0)",276,2.7437090466264635e-05,2.9364455745445328e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1280.0, 1320.0)",251,2.4239536287495866e-05,2.6704632428986574e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1320.0, 1360.0)",228,2.1867155737709254e-05,2.4257592462495481e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1360.0, 1400.0)",211,2.0732539269374683e-05,2.2448913387929093e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1440.0)",147,1.4543721590598579e-05,1.5639763789598859e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1440.0, 1480.0)",163,1.6194073396036401e-05,1.7342051189181418e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1480.0, 1520.0)",147,1.4543721590598579e-05,1.5639763789598859e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1520.0, 1560.0)",112,1.1552459909580648e-05,1.1916010712875735e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1560.0, 1600.0)",100,9.6958137874025851e-06,1.063929543423936e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1600.0, 1640.0)",90,8.8706383394310251e-06,9.5753656739749893e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1640.0, 1680.0)",69,7.1171402851177845e-06,7.341113936361332e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1680.0, 1720.0)",57,5.8793766584130935e-06,6.0643981156238702e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1720.0, 1760.0)",34,3.506996563373832e-06,3.6173603175371216e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1760.0, 1800.0)",17,1.753498281686916e-06,1.8086801587685608e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1800.0, inf)",77,7.5297280091035645e-06,8.1922576361526112e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",0,0,0
